Designator,Mid X,Mid Y,Rotation,Layer
R704,4.089792,-27.807574,180.0,top
R705,11.309992,-35.833269,90.0,top
R706,9.207876,-34.133269,270.0,top
R707,10.759992,-27.883269,90.0,top
R708,8.357876,-34.133269,270.0,top
R709,10.059992,-34.133269,270.0,top
R801,12.850428,-53.175182,0.0,top
R802,12.865628,-52.322382,180.0,top
R803,11.370828,-55.099182,270.0,top
R804,11.777228,-53.937182,180.0,top
R805,11.370828,-60.077582,270.0,top
R806,10.608828,-58.509182,270.0,top
R807,12.465628,-62.217582,180.0,top
R808,11.065628,-53.122382,0.0,top
R809,7.998438,-51.04003,180.0,top
R810,8.865628,-54.322382,270.0,top
R811,11.396228,-57.321782,270.0,top
R1001,-21.428945,42.309182,270.0,top
R1002,-20.736145,42.309182,90.0,top
R1004,-21.357045,36.823882,0.0,top
R1005,-21.357045,37.423882,180.0,top
R1006,-20.057045,37.423882,0.0,top
R1007,-14.195261,33.216295,0.0,top
R1008,-6.540008,34.566731,270.0,top
R1009,-10.429948,35.583842,0.0,top
R1010,-13.833179,39.626682,90.0,top
R1011,-13.877518,41.44559,90.0,top
R1012,-13.877518,42.99559,90.0,top
R1013,-13.873847,37.237229,270.0,top
R1014,-13.873847,35.637229,270.0,top
R1101,6.234981,-58.720222,270.0,top
R1201,-22.368791,-59.303615,270.0,top
R1202,-27.468791,-58.571115,0.0,top
R1203,-26.958791,-57.021115,90.0,top
R1204,-25.536662,-48.477161,0.0,top
R1205,-23.158791,-55.021115,90.0,top
R1206,-25.858791,-51.221115,270.0,top
R1207,-26.258791,-52.421115,0.0,top
R1208,-26.708791,-51.221115,90.0,top
R1301,-26.136967,-46.794345,90.0,top
R1302,-26.549389,-40.894345,270.0,top
R1303,-25.05,-39.3,0.0,top
R1501,-17.722714,50.267177,0.0,top
R1502,-18.122714,55.667177,0.0,top
R1503,-9.46346,51.074671,0.0,top
R1504,-9.06346,45.674671,0.0,top
R1505,-20.842587,50.987024,270.0,top
R1601,-12.097068,-52.518331,270.0,top
R1602,-10.597068,-52.518331,270.0,top
R1603,-9.072221,-53.893331,0.0,top
R1604,-7.168298,-55.865899,180.0,top
SH401,46.863431,-4.584414,180.0,top
T101,22.393478,35.65119,225.0,top
T701,22.102452,-31.385,270.0,top
TH501,-6.770845,35.709482,180.0,top
TP101,-32.878538,-35.684237,0.0,top
TP102,-8.690011,3.191085,0.0,top
TP103,42.671055,28.493613,90.0,top
TP104,42.671055,42.268613,90.0,top
TP105,-37.540008,41.766731,0.0,top
TP106,-37.540008,34.081237,0.0,top
TP107,-30.0,-39.0,0.0,top
TP108,30.0,60.0,0.0,top
TP109,-18.835484,-55.93739,0.0,top
TP110,41.186961,2.2,0.0,top
TP111,33.552589,2.2,0.0,top
TP112,4.734647,-38.685522,0.0,top
TP113,-30.0,60.0,0.0,top
TP114,-25.0,-15.0,0.0,top
TP115,20.427605,2.2,90.0,top
TP116,3.859989,-8.54463,270.0,top
TP117,2.266149,-13.54463,270.0,top
TP118,6.278742,-17.808915,0.0,top
TP119,11.853742,-17.808915,180.0,top
TP201,-12.659227,-20.328131,0.0,top
TP1001,-19.034042,43.61421,0.0,top
TP1002,-16.778945,34.644482,0.0,top
TP1401,-23.190799,-25.21187,0.0,top
TP1402,-34.572973,-22.985584,0.0,top
TP1403,-28.02568,-22.491539,0.0,top
U101,10.653742,-15.370769,0.0,top
U201,41.244259,-0.824702,90.0,top
U202,33.609887,-0.846131,90.0,top
U301,-3.804559,-28.907108,270.0,top
U401,42.099443,16.896185,270.0,top
U402,34.933248,11.554567,0.0,top
U403,24.997065,11.651309,180.0,top
U404,14.868162,16.41464,180.0,top
U405,13.559201,0.536258,180.0,top
U501,10.465999,46.866007,90.0,top
U601,19.144992,-6.624271,180.0,top
U602,20.701274,-10.628985,270.0,top
U603,24.594992,-7.584271,270.0,top
U701,9.757958,-30.638765,0.0,top
U801,15.520628,-58.057382,0.0,top
U901,-3.804712,-37.530613,0.0,top
U1001,-20.049545,39.661382,180.0,top
U1002,-9.403945,39.726682,270.0,top
U1101,6.636718,-56.590365,90.0,top
U1201,-24.134113,-50.624169,0.0,top
U1202,-24.578791,-58.171115,0.0,top
U1301,-25.186967,-43.906845,180.0,top
U1501,-16.305587,52.887024,270.0,top
U1502,-10.880587,48.454824,90.0,top
U1601,-10.872221,-57.018458,0.0,top
